DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE;TIPO_AERODROMO;CODIGO_OACI;ESCALA;ESTADO;ADMINISTRADOR;JERARQUIA;TITULARIDAD;LATITUD;LONGITUD
APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;ANDAHUAYLAS;Aeropuerto;SPHY;Nacional;Operativo;CORPAC S.A.;Nacional;Pública (Concesionada-No entregada);-13.708819;-73.351556
LORETO;DATEM DEL MARAÑÓN;ANDOAS;ANDOAS;Aeródromo;SPAS;Sin escala definida;Operativo;PACIFIC STRATUS ENERGY DEL PERÚ S.A.;Sin jerarquía definida;Privada;-2.796108;-76.466597
LORETO;DATEM DEL MARAÑÓN;ANDOAS;ANDOAS;Helipuerto;SPAN;Sin escala definida;Operativo;PACIFIC STRATUS ENERGY DEL PERÚ S.A.;Sin jerarquía definida;Privada;-2.796111;-76.466625
AREQUIPA;AREQUIPA;CAYMA;AREQUIPA - INTERNACIONAL ALFREDO RODRÍGUEZ BALLON;Aeropuerto Internacional;SPQU;Internacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-16.340611;-71.570792
UCAYALI;ATALAYA;RAYMONDI;ATALAYA;Aeródromo;SPAY;Regional;Operativo;CORPAC S.A.;Regional;Pública;-10.728572;-73.765886
AYACUCHO;HUAMANGA;ANDRÉS AVELINO CÁCERES;AYACUCHO - CRNL. FAP ALFREDO MENDIVIL;Aeropuerto;SPHO;Nacional;Operativo;AEROPUERTOS ANDINOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-13.15483611;-74.20441667
LORETO;ALTO AMAZONAS;JEBEROS;BELLAVISTA;Aeródromo;SPBS;Local;Operativo;COMUNIDAD DE BELLAVISTA;Sin jerarquía definida;Pública;-5.283333;-76.383333
LORETO;REQUENA;PIUINAHUA;BRETAÑA 1;Helipuerto;;Local;Operativo;PETROTAL PERÚ S.R.L.;Sin jerarquía definida;Privada;-5.245689718;-74.32895779
UCAYALI;ATALAYA;YURUA;BREU;Aeródromo;SPBK;Local;Operativo;CORPAC S.A.;Local;Pública;-9.533792;-72.757153
LORETO;REQUENA;TAPICHE;BUNCUYO;Aeródromo;SPBJ;Local;Operativo;COMUNIDAD DE BUNCUYO;Sin jerarquía definida;Pública;-6.516667;-74.583333
LORETO;RAMÓN CASTILLA;RAMÓN CASTILLA;CABALLOCOCHA;Aeródromo;SPBC;Regional;Operativo;CORPAC S.A.;Regional;Pública;-3.916833;-70.508181
CAJAMARCA;CAJAMARCA;BAÑOS DEL INCA;CAJAMARCA - MAY.GRAL.FAP ARMANDO REVOREDO IGLESIAS;Aeropuerto;SPJR;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-7.139144;-78.489581
CUSCO;LA CONVENCIÓN;ECHARATE;CASHIRIARI 3;Helipuerto;SPCS;Sin escala definida;Operativo;PLUSPETROL PERÚ CORPORATION S.A.;Sin jerarquía definida;Privada;-11.88030278;-72.64921111
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CHACHAPOYAS;Aeropuerto;SPPY;Nacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-6.202042;-77.856
LA LIBERTAD;PATAZ;PATAZ;CHAGUAL;Aeródromo;SPGL;Sin escala definida;Operativo;CIA. MINERA PODEROSA S.A.;Sin jerarquía definida;Privada;-7.797417;-77.651431
AREQUIPA;CARAVELI;CHALA;AERO LINK CHALA;Aeródromo;SPAK;Sin escala definida;Operativo;AERO LINK S.A.C.;Sin jerarquía definida;Privada;-15.80724722;-74.28691944
LA LIBERTAD;VIRU;CHAO;CHAO;Aeródromo;;Sin escala definida;Operativo;CAMPOSOL S.A.;Sin jerarquía definida;Privada;-8.581667;-78.681111
LAMBAYEQUE;CHICLAYO;CHICLAYO;CHICLAYO - INTERNACIONAL CAP. FAP JOSÉ ABELARDO QUIÑONES GONZALES;Aeropuerto Internacional;SPHI;Internacional;Operativo;AEROPUERTOS DEL PERÚ S.A.;Nacional;Pública (Concesionada);-6.787478;-79.8281
ÁNCASH;SANTA;NUEVO CHIMBOTE;CHIMBOTE - TNTE.FAP JAIME A. DE MONTREUIL MORALES;Aeropuerto;SPEO;Regional;Operativo;CORPAC S.A.;Nacional;Pública;-9.149711;-78.523564
AMAZONAS;CONDORCANQUI;NIEVA;CIRO ALEGRÍA;Aeródromo;SPAC;Regional;Operativo;CORPAC S.A.;Regional;Pública;-4.607144;-77.940633
PASCO;OXAPAMPA;PUERTO BERMÚDEZ;CIUDAD CONSTITUCIÓN;Aeródromo;SPCC;Local;Operativo;MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ;Local;Pública;-9.863958;-75.006736
LORETO;REQUENA;YAQUERANA;COLONIA ANGAMOS;Aeródromo;SPDN;Local;Operativo;MUNICIPALIDAD DISTRITAL DE YAQUERANA;Local;Pública;-5.137125;-72.867889
LORETO;UCAYALI;CONTAMANA;CONTAMANA;Aeródromo;SPCM;Local;Operativo;GOBIERNO REGIONAL DE LORETO;Local;Pública;-7.335806;-74.992556
UCAYALI;PURÚS;PURÚS;CULINA;Aeródromo;SPUI;Sin escala definida;Operativo;COMUNIDAD DE CULINA;Sin jerarquía definida;Privada;-9.584486;-70.617764
CUSCO;CUSCO;SAN SEBASTIÁN;CUSCO - INTERNACIONAL TNTE. FAP ALEJANDRO VELASCO ASTETE;Aeropuerto Internacional;SPZO;Internacional;Operativo;CORPAC S.A.;Nacional;Pública;-13.535722;-71.938778
JUNÍN;SATIPO;RÍO TAMBO;CUTIVIRENI;Aeródromo;SPCV;Local;Operativo;COMUNIDAD NATIVA DE CUTIVIRENI;Sin jerarquía definida;Pública;-11.877167;-73.916958
LORETO;PUTUMAYO;PUTUMAYO;EL ESTRECHO;Aeródromo;SPEE;Regional;Operativo;CORPAC S.A.;Regional;Pública;-2.453886403;-72.67083132
