ID_DEPARTAMENTO;ID_PROVINCIA;ID_DISTRITO;LOCALIDAD;NOMBRE_TERMINAL;LABEL_TERMINAL;AMBITO;TIPO_TERMINAL;ALCANCE;USO;TRAFICO;ACTIVIDAD;ESTADO;TITULARIDAD;ADMINISTRADOR;LATITUD;LONGITUD
02;0211;021101;Huarmey;Punta Lobitos - Antamina;TP Punta Lobitos - Antamina;Marítimo;Terminal Portuario (Muelle);Regional;Privado;Minerales;Especializado;Operativo;Privado;CIA. MINERA ANTAMINA S.A.;-10.099826;-78.180808
02;0218;021801;Chimbote;Chimbote;TP Chimbote;Marítimo;Terminal Portuario (Muelle);Regional;Público;General;Multipropósito;Operativo;Público;GOBIERNO REGIONAL DE ANCASH;-9.074414;-78.610495
02;0218;021801;Chimbote;Multiboyas Chimbote;TP Multiboyas Chimbote;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Público;TERMINALES DEL PERÚ;-9.112037;-78.576418
02;0218;021801;Chimbote;Multiboyas Colpex - Chimbote;TP Multiboyas Colpex - Chimbote;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Aceite de pescado;Especializado;Operativo;Privado;COLPEX INTERNATIONAL S.A.C.;-9.120388;-78.579279
02;0218;021801;Chimbote;Muelle Siderperú;TP Muelle Siderperú;Marítimo;Terminal Portuario (Muelle);Regional;Privado;Minerales;Especializado;Operativo;Público;SIDERPERU S.A.;-9.077477;-78.610528
02;0218;021807;Santa;Terminal Pesquero Casamar;Terminal Pesquero Casamar;Marítimo;Terminal Pesquero (Muelle);Nacional;Privado;-;Especializado;Operativo;Privado;CASAMAR S.A.C.;-9.255625;-78.497497
02;0218;021808;Chimbote;Pesquero Austral - Coishco;Terminal Pesquero Austral - Coishco;Marítimo;Terminal Pesquero;Nacional;Privado;-;Especializado;Operativo;Privado;AUSTRAL GROUP S.A.A.;-9.020787;-78.622498
04;0407;040701;Mollendo;MOLLENDO;TP MULTIBOYAS MOLLENDO;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-17.039991;-72.006481
04;0407;040704;Matarani;MATARANI;TP MATARANI;Marítimo;Terminal Portuario (Muelle);Nacional;Público;Multipropósito;Multipropósito;Operativo;Público (Concesionado);TERMINAL INTERNACIONAL DEL SUR S.A.;-16.999169;-72.105933
04;0407;040701;Mollendo;MONTE AZUL;TP MULTIBOYAS MONTE AZUL;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;MONTE AZUL LOGÍSTICA S.A.C;-17.043903;-72.001541
07;0701;070101;Callao;CALLAO (TERM.EMB.DE CONCENT.DE MINERALES);TP CALLAO (TERMINAL DE EMBARQUE DE CONCENTRADO DE MINERALES);Marítimo;Terminal Portuario (Muelle);Nacional;Público;Concentrado de minerales;Especializado;Operativo;Público (Concesionado);TRANSPORTADORA CALLAO S.A.;-12.04175;-77.149347
07;0701;070101;Callao;CALLAO (TERMINAL DE CONTENEDORES-M.SUR);TP CALLAO (TERMINAL DE CONTENEDORES MUELLE SUR);Marítimo;Terminal Portuario (Muelle);Nacional;Público;Contenedores;Especializado;Operativo;Público (Concesionado);DP WORLD CALLAO S.R.L.;-12.056375;-77.148605
07;0701;070101;Callao;CALLAO (TERMINAL MULTIPROPÓSITO MUELLE NORTE );TP CALLAO (TERMINAL MULTIPROPÓSITO MUELLE NORTE );Marítimo;Terminal Portuario (Muelle);Nacional;Público;General, graneles y contenedores;Multipropósito;Operativo;Público (Concesionado);APM TERMINALS CALLAO S.A.;-12.045592;-77.144473
07;0701;070101;Callao;MUELLE DE CAPITANES;EMBARCADERO MUELLE DE CAPITANES;Maritimo;Embarcadero;Regional;Público;Pasajeros;Especializado;Operativo;Público;ESTADO PERUANO (En trámite);-12.058126;-77.14973
07;0701;070101;Ventanilla;MULTIBOYAS VALERO PERÚ;TP MULTIBOYAS VALERO PERÚ S.A.C.;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Bio Diesel;Especializado;Operativo;Privado;VALERO PERÚ S.A.C.;-11.954117;-77.148318
07;0701;070101;Ventanilla;QUIMPAC;TP MULTIBOYAS QUIMPAC - OQUENDO;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;QUIMPAC S.A.;-11.973016;-77.156383
07;0701;070101;Ventanilla;REPSOL GAS;TP MULTIBOYAS SOLGAS -VENTANILLA;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Gas Licuado de Petroleo (GLP);Especializado;Operativo;Privado;SOLGAS S.A.;-11.938233;-77.169762
07;0701;070101;Ventanilla;SUDAMERICANA DE FIBRAS;TP MULTIBOYAS SUDAMERICANA DE FIBRAS;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;SUDAMERICANA DE FIBRAS S.A.;-11.981781;-77.156719
07;0701;070101;Ventanilla;TRALSA;TP MULTIBOYAS TRALSA;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Químicos;Especializado;Operativo;Privado;TRALSA S.A.;-11.968273;-77.154053
07;0701;070101;Ventanilla;ZETA GAS ANDINO;TP MULTIBOYAS ZETA GAS ANDINO;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Gas Licuado de Petroleo (GLP);Especializado;Operativo;Privado;ZETA GAS ANDINO S.A.;-11.988575;-77.159648
07;0701;070106;Ventanilla;LA PAMPILLA REPSOL;TP MULTIBOYAS REFINERÍA REPSOL - LA PAMPILLA;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;REFINERIA LA PAMPILLA S.A.;-11.917313;-77.16177
11;1103;110304;San Nicolás;SHOUGAN HIERRO PERÚ;TP SHOUGANG HIERRO PERÚ;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Minerales;Especializado;Operativo;Privado;SHOUGANG HIERRO PERÚ S.A.A.;-15.254444;-75.241667
11;1105;110501;Pisco;PISCO;TP MULTIBOYAS PISCO;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-13.747462;-76.228457
11;1105;110501;Pisco;PLUSPETROL - PISCO;TP PLUSPETROL - PISCO;Marítimo;Terminal Portuario (Muelle Dolphin);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;PLUSPETROL PERU CORPORATION S.A.;-13.768114;-76.265108
11;1105;110505;Paracas;GENERAL SAN MARTÍN - PISCO;TP GENERAL SAN MARTÍN;Marítimo;Terminal Portuario (Muelle);Nacional;Público;Multipropósito;Multipropósito;Operativo;Público (Concesionado);TERMINAL PORTUARIO PARACAS S.A.;-13.803056;-76.291667
11;1103;110304;Marcona;MINA JUSTA;TP MULTIBOYAS MINA JUSTA;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Ácido Sulfúrico;Especializado;Operativo;Privado;MARCOBRE S.A.C;-15.339069;-75.173676
13;1301;130109;Salaverry;SALAVERRY;TP MULTIPROPÓSITO DE SALAVERRY;Marítimo;Terminal Portuario (Muelle);Nacional;Público;General;Multipropósito;Operativo;Público (Concesionado);SALAVERRY TERMINAL INTERNACIONAL S.A.;-8.226123;-78.982365
13;1301;130109;Salaverry;SALAVERRY;TP MULTIBOYAS SALAVERRY;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Privado;TERMINALES DEL PERÚ;-8.216097;-78.991793
14;1401;140104;Eten;ETEN;TP MULTIBOYAS ETEN;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Público;TERMINALES DEL PERÚ;-6.966771;-79.861059
15;1501;150119;Lurín;UNIÓN ANDINA DE CEMENTOS;TP UNIÓN ANDINA DE CEMENTOS;Marítimo;Terminal Portuario (Muelle);Nacional;Privado;Granel sólido;Especializado;Operativo;Privado;UNIÓN ANDINA DE CEMENTOS S.A.A (UNACEM PERÚ);-12.252882;-76.938825
15;1501;150142;Lurín;CONCHÁN;TP MULTIBOYAS CONCHÁN;Marítimo;Terminal Portuario (Multiboyas);Nacional;Privado;Hidrocarburos;Especializado;Operativo;Público;PETROPERÚ S.A.;-12.259776;-76.931205
15;1502;150202;Paramonga;QUIMPAC;TP MULTIBOYAS QUIMPAC - PARAMONGA;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Químicos;Especializado;Operativo;Privado;QUIMPAC S.A.;-10.676995;-77.834807
15;1502;150205;Supe;COLPEX - SUPE;TP MULTIBOYAS COLPEX - SUPE;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Aceite de pescado;Especializado;Operativo;Privado;COLPEX INTERNATIONAL S.A.C.;-10.797864;-77.745623
15;1502;150205;Supe;SUPE;TP MULTIBOYAS SUPE;Marítimo;Terminal Portuario (Multiboyas);Regional;Privado;Hidrocarburos;Especializado;Operativo;Público;TERMINALES DEL PERÚ;-10.796035;-77.746992
