NOMBRE,TIPO_AERODROMO,CODIGO_OACI,ESTADO,ADMINISTRADOR,LATITUD,LONGITUD,ESCALA,JERARQUIA,TITULARIDAD,DEPARTAMENTO,PROVINCIA,DISTRITO
ANDAHUAYLAS,Aeropuerto,SPHY,Operativo,CORPAC S.A.,-13.708819,-73.351556,Nacional,Nacional,Pública (Concesionada-No entregada),APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS
ANDOAS,Aeródromo,SPAS,Operativo,PACIFIC STRATUS ENERGY DEL PERÚ S.A.,-2.796108,-76.466597,Sin escala definida,Sin jerarquía definida,Privada,LORETO,DATEM DEL MARAÑÓN,ANDOAS
ANDOAS,Helipuerto,SPAN,Operativo,PACIFIC STRATUS ENERGY DEL PERÚ S.A.,-2.796111,-76.466625,Sin escala definida,Sin jerarquía definida,Privada,LORETO,DATEM DEL MARAÑÓN,ANDOAS
AREQUIPA - INTERNACIONAL ALFREDO RODRÍGUEZ BALLON,Aeropuerto Internacional,SPQU,Operativo,AEROPUERTOS ANDINOS DEL PERÚ S.A.,-16.340611,-71.570792,Internacional,Nacional,Pública (Concesionada),AREQUIPA,AREQUIPA,CAYMA
ATALAYA,Aeródromo,SPAY,Operativo,CORPAC S.A.,-10.728572,-73.765886,Regional,Regional,Pública,UCAYALI,ATALAYA,RAYMONDI
AYACUCHO - CRNL. FAP ALFREDO MENDIVIL,Aeropuerto,SPHO,Operativo,AEROPUERTOS ANDINOS DEL PERÚ S.A.,-13.15483611,-74.20441667,Nacional,Nacional,Pública (Concesionada),AYACUCHO,HUAMANGA,ANDRÉS AVELINO CÁCERES
BELLAVISTA,Aeródromo,SPBS,Operativo,COMUNIDAD DE BELLAVISTA,-5.283333,-76.383333,Local,Sin jerarquía definida,Pública,LORETO,ALTO AMAZONAS,JEBEROS
BRETAÑA 1,Helipuerto,,Operativo,PETROTAL PERÚ S.R.L.,-5.245689718,-74.32895779,Local,Sin jerarquía definida,Privada,LORETO,REQUENA,PIUINAHUA
BREU,Aeródromo,SPBK,Operativo,CORPAC S.A.,-9.533792,-72.757153,Local,Local,Pública,UCAYALI,ATALAYA,YURUA
BUNCUYO,Aeródromo,SPBJ,Operativo,COMUNIDAD DE BUNCUYO,-6.516667,-74.583333,Local,Sin jerarquía definida,Pública,LORETO,REQUENA,TAPICHE
CABALLOCOCHA,Aeródromo,SPBC,Operativo,CORPAC S.A.,-3.916833,-70.508181,Regional,Regional,Pública,LORETO,RAMÓN CASTILLA,RAMÓN CASTILLA
CAJAMARCA - MAY.GRAL.FAP ARMANDO REVOREDO IGLESIAS,Aeropuerto,SPJR,Operativo,AEROPUERTOS DEL PERÚ S.A.,-7.139144,-78.489581,Nacional,Nacional,Pública (Concesionada),CAJAMARCA,CAJAMARCA,BAÑOS DEL INCA
CASHIRIARI 3,Helipuerto,SPCS,Operativo,PLUSPETROL PERÚ CORPORATION S.A.,-11.88030278,-72.64921111,Sin escala definida,Sin jerarquía definida,Privada,CUSCO,LA CONVENCIÓN,ECHARATE
CHACHAPOYAS,Aeropuerto,SPPY,Operativo,AEROPUERTOS DEL PERÚ S.A.,-6.202042,-77.856,Nacional,Nacional,Pública (Concesionada),AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
CHAGUAL,Aeródromo,SPGL,Operativo,CIA. MINERA PODEROSA S.A.,-7.797417,-77.651431,Sin escala definida,Sin jerarquía definida,Privada,LA LIBERTAD,PATAZ,PATAZ
AERO LINK CHALA,Aeródromo,SPAK,Operativo,AERO LINK S.A.C.,-15.80724722,-74.28691944,Sin escala definida,Sin jerarquía definida,Privada,AREQUIPA,CARAVELI,CHALA
