ID_REDFER,CODIGO_FERROVIARIO,NOMBRE,ID_DEPARTAMENTO,DEPARTAMENTO,TRAMO,SUBTRAMO,LONGITUD,ANCHO,ELECTRIFICACION,ESTADO,TITULARIDAD,ADMINISTRADOR,ES_CONCES,OBSERVACIONES,FECHA_CORTE
1,VOTMET-C,FERROCARRIL CAJAMARQUILLA - SANTA CLARA,15,LIMA,RAMAL CAJAMARQUILLA - SANTA CLARA,SANTA CLARA - CAJAMARQUILLA,6.10,Est?ndar,No electrificada,Operativo,Privada,VOTORANTIM METAIS,-1,,20221231
2,CANDINO,FERROCARRIL CARIPA - CONDORCOCHA,12,JUNIN,CARIPA - CONDORCOCHA,CARIPA - CONDORCOCHA,10.93,Est?ndar,No electrificada,Operativo,Privada,CEMENTO ANDINO S.A,-1,,20221231
3,FCCA-T1,FERROCARRIL DEL CENTRO,15,LIMA,CALLAO - LA OROYA,CALLAO- DV. CAJAMARQUILLA,21.75,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
4,FCCA-T1,FERROCARRIL DEL CENTRO,15,LIMA,CALLAO - LA OROYA,CALLAO- DV. CAJAMARQUILLA,4.04,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
5,FCCA-T1,FERROCARRIL DEL CENTRO,12,JUNIN,CALLAO - LA OROYA,CUT OFF - LA OROYA,16.01,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
6,FCCA-T1,FERROCARRIL DEL CENTRO,15,LIMA,CALLAO - LA OROYA,DV. CAJAMARQUILLA - TICLIO,102.25,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
7,FCCA-T1,FERROCARRIL DEL CENTRO,15,LIMA,CALLAO - LA OROYA,DV. CAJAMARQUILLA - TICLIO,25.63,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
8,FCCA-T1,FERROCARRIL DEL CENTRO,15,LIMA,CALLAO - LA OROYA,LIMA - DV. CAJAMARQUILLA,2.64,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
9,FCCA-T1,FERROCARRIL DEL CENTRO,12,JUNIN,CALLAO - LA OROYA,RAMAL TICLIO - CUT OFF,34.76,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
10,FCCA-T1,FERROCARRIL DEL CENTRO,12,JUNIN,CUT OFF - HUASCACOCHA (CALLAO - LA OROYA),CUTOFF - HUASCACOCHA,12.17,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
11,FCCA-T2,FERROCARRIL DEL CENTRO,12,JUNIN,LA OROYA - CERRO DE PASCO,RAMAL LA OROYA - CERRO DE PASCO,85.98,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
12,FCCA-T2,FERROCARRIL DEL CENTRO,19,PASCO,LA OROYA - CERRO DE PASCO,RAMAL LA OROYA - CERRO DE PASCO,44.38,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
13,FCCA-T3,FERROCARRIL DEL CENTRO,12,JUNIN,LA OROYA - HUANCAYO,LA OROYA - PACHACAYO,40.96,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
14,FCCA-T3,FERROCARRIL DEL CENTRO,12,JUNIN,LA OROYA - HUANCAYO,PACHACAYO - SAUSA,38.55,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
15,FCCA-T3,FERROCARRIL DEL CENTRO,12,JUNIN,LA OROYA - HUANCAYO,SAUSA - HUANCAYO,44.86,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROVIAS CENTRAL ANDINA S.A.,1,,20221231
16,FTRAN-T1,FERROCARRIL DEL SUR,21,PUNO,AREQUIPA - JULIACA,JULIACA -AREQUIPA,121.16,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
17,FTRAN-T1,FERROCARRIL DEL SUR,04,AREQUIPA,AREQUIPA - JULIACA,JULIACA -AREQUIPA,95.68,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
18,FTRAN-T1,FERROCARRIL DEL SUR,04,AREQUIPA,AREQUIPA - JULIACA,JULIACA -AREQUIPA,87.99,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
19,FTRAN-T1,FERROCARRIL DEL SUR,04,AREQUIPA,EMPALME - MOLLENDO,RAMAL EMPALME - MOLLENDO,17.93,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
20,FTRAN-T3,FERROCARRIL DEL SUR,21,PUNO,JULIACA - CUSCO,CUSCO - JULIACA,159.41,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
21,FTRAN-T3,FERROCARRIL DEL SUR,08,CUSCO,JULIACA - CUSCO,CUSCO - JULIACA,50.65,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
22,FTRAN-T3,FERROCARRIL DEL SUR,08,CUSCO,JULIACA - CUSCO,CUSCO - JULIACA,128.95,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
23,FTRAN-T2,FERROCARRIL DEL SUR,21,PUNO,JULIACA - PUNO,RAMAL JULIACA - PUNO,48.79,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
24,FTRAN-T1,FERROCARRIL DEL SUR,04,AREQUIPA,MATARANI - AREQUIPA,AREQUIPA - LA JOYA,83.03,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
25,FTRAN-T1,FERROCARRIL DEL SUR,04,AREQUIPA,MATARANI - AREQUIPA,LA JOYA - PUERTO MATARANI,61.24,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
26,FTRAN-T4,FERROCARRIL DEL SUR ORIENTE,08,CUSCO,CUSCO - HIDROEL?CTRICA,CUSCO - PACHAR,59.79,Angosta,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
27,FTRAN-T6,FERROCARRIL DEL SUR ORIENTE,08,CUSCO,CUSCO - HIDROEL?CTRICA,MACHUCCPICHU - HIDROELECTRICA,8.38,Est?ndar,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
28,FTRAN-T4,FERROCARRIL DEL SUR ORIENTE,08,CUSCO,CUSCO - HIDROEL?CTRICA,PACHAR-MACHUPICCHU,50.19,Angosta,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
29,FTRAN-T5,FERROCARRIL DEL SUR ORIENTE,08,CUSCO,PACHAR - URUBAMBA,RAMAL PACHAR - URUBAMBA,13.24,Angosta,No electrificada,Operativo,P?blica (concesionada),FERROCARRIL TRASANDINO S.A.,1,,20221231
30,FHYO-HVCA,FERROCARRIL HUANCAYO - HUANCAVELICA,09,HUANCAVELICA,HUANCAYO - HUANCAVELICA,HUANCAYO - HUANCAVELICA,90.32,Est?ndar,No electrificada,Operativo,P?blica,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,0,,20221231
31,FHYO-HVCA,FERROCARRIL HUANCAYO - HUANCAVELICA,12,JUNIN,HUANCAYO - HUANCAVELICA,HUANCAYO - HUANCAVELICA,37.15,Est?ndar,No electrificada,Operativo,P?blica,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,0,,20221231
